Index;AAPL.Open;AAPL.High;AAPL.Low;AAPL.Close;AAPL.Volume;AAPL.Adjusted
1999-12-31;0.758398983119989;0.772956388305414;0.747598086576196;0.772486805915833;163811200;0.772486805915833
2000-01-03;0.787983229909197;0.845273725417205;0.764033629626965;0.841047585010529;535796800;0.841047585010529
2000-01-04;0.813341422420158;0.831185799517675;0.760277070865559;0.770138800144196;512377600;0.770138800144196
2000-01-05;0.779530269008028;0.830716403255763;0.773895481125146;0.781408548355103;778321600;0.781408548355103
2000-01-06;0.797375559596927;0.803949512700836;0.713786780834198;0.713786780834198;767972800;0.713786780834198
2000-01-07;0.725057079901526;0.758868409430896;0.717544014005156;0.747597932815552;460734400;0.747597932815552
2000-01-10;0.76638146695242;0.7682597460685;0.711908413244426;0.73444926738739;505064000;0.73444926738739
2000-01-11;0.720830890754752;0.746658715856441;0.67997608323221;0.696881294250488;441548800;0.696881294250488
2000-01-12;0.713786547735493;0.717543958162046;0.649921304366062;0.655087411403656;976068800;0.655087411403656
2000-01-13;0.709912174948147;0.741962190242099;0.695003014452534;0.72693520784378;1032684800;0.72693520784378
2000-01-14;0.751354438184677;0.768259650339593;0.746658766058747;0.75464141368866;390376000;0.75464141368866
2000-01-18;0.758868801496457;0.796436658304082;0.754641856458984;0.780939280986786;459177600;0.780939280986786
2000-01-19;0.793617943343117;0.817097959146291;0.776712681066788;0.800662279129028;597643200;0.800662279129028
2000-01-20;0.867814608622888;0.912895514388145;0.852787673473358;0.852787673473358;1831132800;0.852787673473358
2000-01-21;0.858422511461332;0.858422511461332;0.827898956720662;0.836351990699768;495924800;0.836351990699768
2000-01-24;0.814750203364847;0.84715198533019;0.789861487724436;0.798314571380615;440876800;0.798314571380615
2000-01-25;0.788922526364193;0.849970446751968;0.769199864471836;0.843395590782166;497145600;0.843395590782166
2000-01-26;0.826490341770779;0.857953014165104;0.824612112515171;0.827899038791656;367158400;0.827899038791656
2000-01-27;0.817567725397757;0.849031250516103;0.803949484876308;0.826490342617035;340144000;0.826490342617035
2000-01-28;0.812872074604402;0.83306426731934;0.75605110215583;0.763564169406891;423348800;0.763564169406891
2000-01-31;0.75886832934221;0.780469212857248;0.710030020482725;0.779530048370361;701680000;0.779530048370361
2000-02-01;0.781408469221624;0.788922388382418;0.751354548120157;0.753232777118683;318035200;0.753232777118683
2000-02-02;0.756990133995379;0.767320593381926;0.728813591215518;0.742431879043579;464195200;0.742431879043579
2000-02-03;0.753702364501662;0.783287606322746;0.753232782169714;0.776243269443512;475193600;0.776243269443512
2000-02-04;0.780938940169579;0.826490231944992;0.778591078674545;0.811463296413422;425320000;0.811463296413422
2000-02-07;0.811463377941664;0.858422568735427;0.795966808364135;0.857013821601868;441067200;0.857013821601868
2000-02-08;0.856544151324936;0.872510251483528;0.835882428503041;0.863119006156921;408643200;0.863119006156921
2000-02-09;0.857483281357642;0.880024135121312;0.844804157702035;0.846212804317474;299364800;0.846212804317474
2000-02-10;0.848091950602673;0.855605067069103;0.826490210932513;0.852787673473358;302982400;0.852787673473358
2000-02-11;0.853726756744658;0.857483315061259;0.813341522795307;0.817098081111908;212251200;0.817098081111908
2000-02-14;0.821324160471205;0.870632009748181;0.816158905395446;0.870162427425385;367539200;0.870162427425385
2000-02-15;0.865936350535656;0.901156327372719;0.865466768232717;0.89411199092865;485744000;0.89411199092865
2000-02-16;0.884719659413328;0.887537854861897;0.842456157449221;0.857483088970184;378246400;0.857483088970184
2000-02-17;0.865466817488573;0.867814628820225;0.849970299659645;0.863119006156921;289497600;0.863119006156921
2000-02-18;0.861240734959407;0.866875522662304;0.833064238369676;0.835882484912872;233441600;0.835882484912872
2000-02-22;0.82742927539568;0.878615397165886;0.801601398300471;0.855135381221771;422296000;0.855135381221771
2000-02-23;0.850791736234633;0.894112193149313;0.83400343781175;0.873449563980103;473099200;0.873449563980103
2000-02-24;0.881432786787403;0.895051073592538;0.839638812010428;0.865583658218384;376432000;0.865583658218384
2000-02-25;0.862649539432335;0.879085224123164;0.827429505712586;0.829307734966278;249144000;0.829307734966278
2000-02-28;0.82742955733024;0.8640582401961;0.814280848250626;0.850909531116486;328328000;0.850909531116486
2000-02-29;0.853257419614771;0.880963587530372;0.845743598605649;0.861240923404693;368961600;0.861240923404694
2000-03-01;0.890824940222167;0.992257217044959;0.890355357958711;0.979108512401581;1077003200;0.979108512401581
2000-03-02;0.954221429702414;0.961264968758273;0.906791776759634;0.916653513908386;311259200;0.916653513908386
2000-03-03;0.938254089108034;0.963495476732337;0.901626254215476;0.961734116077423;323366400;0.961734116077423
2000-03-06;0.946706636441472;0.970186650036508;0.939192719103128;0.944358825683594;210560000;0.944358825683594
2000-03-07;0.949993460232616;0.957507376373498;0.910077774527182;0.923226475715637;273011200;0.923226475715637
2000-03-08;0.92322747031829;0.931210977199957;0.890825665846933;0.916653513908386;271230400;0.916653513908386
2000-03-09;0.90819992604803;0.939192962152137;0.888477267284819;0.918531239032745;276718400;0.918531239032745
2000-03-10;0.914304845433313;0.961264069254082;0.909138738944834;0.944828391075134;248606400;0.944828391075134
2000-03-13;0.917591676085748;0.95046302726798;0.897868223349994;0.911486506462097;303956800;0.911486506462097
2000-03-14;0.91078237822684;0.93355807204626;0.856544069428136;0.8584223985672;428579200;0.8584223985672
2000-03-15;0.868753940522033;0.903504342915629;0.85748346111914;0.873449563980103;443609600;0.873449563980103
2000-03-16;0.881433097632443;0.91665308366575;0.860300885315741;0.913365304470062;378100800;0.913365304470062
2000-03-17;0.902565127663313;0.939192950725556;0.898807666484257;0.939192950725556;305043200;0.939192950725555
2000-03-20;0.927923085393443;0.948584801789401;0.919470004188437;0.924165725708008;204489600;0.924165725708008
2000-03-21;0.920878825594455;1.0274770997572;0.913835292900873;1.01385891437531;524328000;1.01385891437531
2000-03-22;0.997658081750776;1.0847685524141;0.988500675719254;1.08335900306702;567996800;1.08335900306702
2000-03-23;1.06692348493695;1.12984962551108;1.05189654902001;1.06175827980042;562564800;1.06175827980042
2000-03-24;1.07021050845418;1.08148098676228;1.01808526103555;1.04203486442566;446913600;1.04203486442566
2000-03-27;1.03405190755972;1.0875857832371;1.02841621892978;1.04860925674438;279182400;1.04860925674438
2000-03-28;1.03123374653904;1.066923302603;1.03029458201411;1.04532241821289;202966400;1.04532241821289
2000-03-29;1.04720096620915;1.04767044825312;1.00552390155587;1.02137303352356;239836800;1.02137303352356
2000-03-30;1.00352757132606;1.03452140139093;0.942480480042417;0.944828391075134;414400000;0.944828391075134
2000-03-31;0.957507987573328;1.03123413600803;0.946707089874124;1.02043414115906;404633600;1.02043414115906
2000-04-03;1.01808530249163;1.0481400797315;0.972534808207678;1.0016496181488;328563200;1.0016496181488
2000-04-04;0.996484114311501;0.999301507447441;0.877206613419054;0.956568419933319;660329600;0.956568419933319
2000-04-05;0.950228465432788;0.998362403718457;0.931679815266145;0.979578912258148;457665600;0.979578912258148
2000-04-06;0.981457533697591;1.01057234536876;0.926044401651718;0.940602660179138;259627200;0.940602660179138
2000-04-07;0.956098597612372;0.990848176385206;0.942949896868684;0.989909112453461;242435200;0.989909112453461
2000-04-10;0.989439965495162;0.99742346701729;0.937314721719376;0.939192950725556;212262400;0.939192950725555
2000-04-11;0.927923610656291;0.938254023277058;0.887067931221635;0.897399246692657;541822400;0.897399246692657
